IBGE,NOME,LAT,LONG
110001,ALTA FLORESTA D'OESTE                   ,-11.929,-61.996
110002,ARIQUEMES                               ,-9.913,-63.041
110003,CABIXI                                  ,-13.492,-60.545
110004,CACOAL                                  ,-11.438,-61.448
110005,CEREJEIRAS                              ,-13.189,-60.812
110006,COLORADO DO OESTE                       ,-13.117,-60.542
110007,CORUMBIARA                              ,-12.962,-60.887
110008,COSTA MARQUES                           ,-12.445,-64.227
110009,ESPIGAO D'OESTE                         ,-11.525,-61.013
110010,GUAJARA-MIRIM                           ,-10.783,-65.339
110011,JARU                                    ,-10.439,-62.466
110012,JI-PARANA                               ,-10.882,-61.944
110013,MACHADINHO D'OESTE                      ,-9.444,-61.981
110014,NOVA BRASILANDIA D'OESTE                ,-11.725,-62.331
110015,OURO PRETO DO OESTE                     ,-10.716,-62.248
110018,PIMENTA BUENO                           ,-11.673,-61.193
110020,PORTO VELHO                             ,-8.762,-63.904
110025,PRESIDENTE MEDICI                       ,-11.176,-61.901
110026,RIO CRESPO                              ,-9.705,-62.9
110028,ROLIM DE MOURA                          ,-11.733,-61.778
110029,SANTA LUZIA D'OESTE                     ,-11.902,-61.779
110030,VILHENA                                 ,-12.741,-60.146
110032,SAO MIGUEL DO GUAPORE                   ,-11.681,-62.684
110033,NOVA MAMORE                             ,-10.411,-65.331
110034,ALVORADA D'OESTE                        ,-11.408,-62.389
110037,ALTO ALEGRE DOS PARECIS                 ,-12.128,-61.851
110040,ALTO PARAISO                            ,-9.713,-63.321
110045,BURITIS                                 ,-10.212,-63.829
110050,NOVO HORIZONTE DO OESTE                 ,-11.71,-62
110060,CACAULANDIA                             ,-10.34,-62.896
110070,CAMPO NOVO DE RONDONIA                  ,-10.571,-63.627
110080,CANDEIAS DO JAMARI                      ,-8.791,-63.701
110090,CASTANHEIRAS                            ,-11.427,-61.95
110092,CHUPINGUAIA                             ,-12.552,-60.9
110094,CUJUBIM                                 ,-9.363,-62.585
110100,GOVERNADOR JORGE TEIXEIRA               ,-10.61,-62.737
